Front,Back
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مرحبا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mar7aba)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Hello</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مرحبا، كيفك؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mar7aba, kīfak/kīfik?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Hello, how are you?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أهلين</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ahleen)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Hi (warm)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أهلين! شو الأخبار؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ahleen! shū l-akhbār?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Hi! What’s up?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أهلا وسهلا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ahlan w sahlan)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Welcome</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أهلا وسهلا فيك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ahlan w sahlan fīk.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Welcome (to you).</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>صباح الخير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ṣabā7 l-kheir)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good morning</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>صباح الخير!</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ṣabā7 l-kheir!</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Good morning!</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مساء الخير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(masā l-kheir)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good evening</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مساء الخير!</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>masā l-kheir!</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Good evening!</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تصبح على خير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tiṣba7 3a kheir)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good night</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تصبح على خير.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>tiṣba7 3a kheir.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Good night.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مع السلامة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma3 s-salāme)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Goodbye</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>يلا، مع السلامة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>yalla, ma3 s-salāme.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Alright, goodbye.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>سلام</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(salām)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Bye / peace</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>سلام! بشوفك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>salām! bshūfak.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Bye! See you.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>كيفك؟ / كيفِك؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(kīfak? / kīfik?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>How are you?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>كيفك اليوم؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>kīfak il-yōm?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>How are you today?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تمام</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tamām)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Okay / perfect</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تمام، خلّينا نروح.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>tamām, khallīna nrū7.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Okay, let’s go.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>منيح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mnī7)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Good / fine</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا منيح.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ana mnī7.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I’m good.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مو منيح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mū mnī7)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Not good</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>اليوم مو منيح.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>il-yōm mū mnī7.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Today is not good.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو الأخبار؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shū l-akhbār?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>What’s up?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو الأخبار معك؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>shū l-akhbār ma3ak/ma3ik?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>What’s up with you?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شكراً</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shukran)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Thank you</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شكراً كتير.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>shukran ktīr.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Thank you very much.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عفواً</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(3afwan)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>You’re welcome / excuse me</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عفواً، ولا يهمّك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>3afwan, wala yhimmak.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>You’re welcome, no problem.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>لو سمحت</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(law sama7t)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Please</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لو سمحت، ممكن مي؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>law sama7t, mumkin mayy?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Please, can I get water?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>معلِش</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma3leesh)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>No worries / it’s okay</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>معلِش، عادي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ma3leesh, 3ādī.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>No worries, it’s fine.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>آسف</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(āsif)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Sorry (m)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>آسف، تأخرت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>āsif, ta2akhkhart.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Sorry, I’m late.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>آسفة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(āsfe)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Sorry (f)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>آسفة، غلطت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>āsfe, ghalaṭt.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Sorry, I made a mistake.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>يسلّموا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ysallmū)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Thanks (colloquial)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>يسلّموا إيديك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ysallmū 2īdēk.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Thanks (lit. bless your hands).</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تفضل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tfaDDal)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Go ahead / here you go (m)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تفضل، هاي القهوة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>tfaDDal, hāy il-2ahwe.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Here you go, this is the coffee.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تفضلي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tfaDDale)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Go ahead / here you go (f)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تفضلي، هاي المي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>tfaDDale, hāy il-mayy.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Here you go, this is the water.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>صحة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ṣa7a)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Cheers / enjoy (food)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>صحة وهنا!</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ṣa7a w hana!</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Enjoy your meal!</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>نعم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(na3am)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Yes</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>نعم، أكيد.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>na3am, أكيد (akīd).</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Yes, for sure.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إيه</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ēh)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Yeah (yes)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إيه، تمام.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ēh, tamām.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Yeah, okay.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>لا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(lā)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>No</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لا، مش هيك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>lā, mish hēk.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>No, not like that.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ممكن</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mumkin)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Can / possible</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ممكن تساعدني؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mumkin tsā3idnī?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Can you help me?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكيد</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akīd)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Of course / sure</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أكيد! ليش لا؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>akīd! lēsh lā?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Of course! Why not?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>يمكن</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(yumkin)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Maybe</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>يمكن بكرا.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>yumkin bukra.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Maybe tomorrow.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>طيب</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ṭayyeb)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Okay / well</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>طيب، شو بدك؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ṭayyeb, shū biddak?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Okay, what do you want?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>خلص</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(khalaṣ)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Done / enough / okay</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>خلص، تمام.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>khalaṣ, tamām.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Okay, done.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shū)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>What</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو هاد؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>shū hād?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>What is this?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>وين</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wēn)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Where</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>وين الحمام؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>wēn il-7ammām?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Where is the bathroom?</div>
</div>"
