Front,Back
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ليش</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(lēsh)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Why</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ليش هيك؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>lēsh hēk?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Why like that?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>متى</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ēmtā)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>When</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إمتى بدك تجي؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ēmtā biddak tījī?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>When do you want to come?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مين</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mīn)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Who</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>مين هاد؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mīn hād?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Who is this?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>قدّيش</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(2addeesh)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>How much / how many</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>قدّيش السعر؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>2addeesh is-si3r?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>How much is the price?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>كيف</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(kīf)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>How</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>كيف بدي أوصل؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>kīf biddī 2awṣal?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>How do I get there?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>قدّام</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(2uddām)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>In front of</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>المحل قدّامك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>il-ma7all 2uddāmak.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>The shop is in front of you.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ورا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wara)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Behind</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>السيارة ورا البيت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>is-sayyāra wara l-bēt.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>The car is behind the house.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>جنب</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(janb)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Next to</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>قعد جنبِي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>23od janbī.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Sit next to me.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أنا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ana)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا من هون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ana min hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I’m from here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إنت</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(inta)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>You (m)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنت جاهز؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>inta jāhez?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Are you ready?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إنتِ</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(inti)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>You (f)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنتِ جاهزة؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>inti jāhze?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Are you ready? (f)</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(huwwa)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>He</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هو مش هون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>huwwa mish hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>He’s not here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(hiyye)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>She</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هي هون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>hiyye hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>She’s here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>نحنا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ni7na)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>We</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>نحنا رايحين.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ni7na rāy7īn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>We’re going.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>إنتو</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(intu)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>You (plural)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>إنتو وين؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>intu wēn?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Where are you (all)?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هنن</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(hinnen)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>They</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هنن جايين.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>hinnen jāyīn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>They’re coming.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هال</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(hal)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>This (dialect: “this/these”)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هالشي حلو.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>hal-shī 7elw.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>This thing is nice.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هاي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(hāy)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>This (f) / here (f)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هاي كتير طيبة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>hāy ktīr ṭayybe.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>This is very tasty.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هاد</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(hād)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>This (m)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هاد جديد.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>hād jdīd.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>This is new.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدّي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي قهوة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī 2ahwe.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want coffee.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بدّي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mā baddī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بدّي هلّق.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mā baddī halla2.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I don’t want now.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>عندي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(3indī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I have</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عندي سؤال.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>3indī su2āl.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I have a question.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما عندي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mā 3indī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t have</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما عندي وقت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mā 3indī wa2t.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I don’t have time.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>في</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(fī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>There is/are</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>في مي هون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>fī mayy hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>There is water here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما في</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mā fī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>There isn’t/aren’t</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما في مشكلة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mā fī mishkle.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>No problem.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدي روح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddī rū7)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I want to go</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدي روح هلّق.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī rū7 halla2.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want to go now.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تعال</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ta3āl)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Come (m)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تعال لهون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ta3āl la-hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Come here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>تعالي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ta3āle)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Come (f)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تعالي هلّق.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ta3āle halla2.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Come now.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>روح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(rū7)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Go (m)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>روح عالبيت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>rū7 3al-bēt.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Go home.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>روحي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(rū7i)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Go (f)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>روحي هلّق.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>rū7i halla2.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Go now.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>استنى</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(istanna)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Wait</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>استنى شوي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>istanna shway.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Wait a little.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بشوفك</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bshūfak/bshūfik)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>See you</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بشوفك بكرا.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>bshūfak bukra.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>See you tomorrow.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بعرف</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ba3ref)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I know</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بعرف هالمنطقة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ba3ref hal-manṭa2a.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I know this area.</div>
</div>"
