Front,Back
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بعرف</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mā ba3ref)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t know</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بعرف.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mā ba3ref.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I don’t know.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بفهم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bfahham)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I understand</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا بفهم شوي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ana bfahham shway.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I understand a little.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بفهم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mā bfahham)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I don’t understand</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بفهم عربي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>mā bfahham 3arabī.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I don’t understand Arabic.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>احكي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(i7kī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Speak (to me)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>احكي ببطء.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>i7kī bbaṭ2.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Speak slowly.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو يعني؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shū ya3nī?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>What does it mean?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو يعني هالكلمة؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>shū ya3nī hal-kilme?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>What does this word mean?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>ساعدني</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(sā3idnī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Help me</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ساعدني لو سمحت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>sā3idnī law sama7t.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Help me please.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بدّي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(baddī)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>I need / I want</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي مساعدة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī musā3ade.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I need help.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هلّق</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(halla2)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Now</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هلّق بدي أكل.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>halla2 baddī 2ākul.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Now I want to eat.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بكرا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bukra)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Tomorrow</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بكرا عندي شغل.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>bukra 3indī shughl.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Tomorrow I have work.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>امبارح</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(imbāre7)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Yesterday</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>امبارح كنت هون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>imbāre7 kunt hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Yesterday I was here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>اليوم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(il-yōm)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Today</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>اليوم فاضي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>il-yōm fāḍī.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Today I’m free.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>هلق</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(halla2)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Now (alt spelling)</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هلق خلّصت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>halla2 khallaṣt.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I just finished.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بعد شوي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ba3d shway)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>In a bit</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بعد شوي بجي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ba3d shway bijī.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I’ll come in a bit.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بعدين</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ba3dēn)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Later / then</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بعدين منحكي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ba3dēn mna7kī.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>We’ll talk later.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>لسّا</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(lissa)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Still / not yet</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لسّا ما جهزت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>lissa mā jhazzet.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I’m not ready yet.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>دايماً</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(dāyman)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Always</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>دايماً هيك.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>dāyman hēk.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Always like that.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أحياناً</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(a7yānan)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Sometimes</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أحياناً بتأخر.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>a7yānan bta2akhkhar.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Sometimes I’m late.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>كتير</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ktīr)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>A lot / very</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>هالشي كتير حلو.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>hal-shī ktīr 7elw.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>This is very nice.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شوي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shway)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>A little</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي شوي مي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī shway mayy.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want a little water.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بس</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bass)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Only / but</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بس دقيقة.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>bass da2ī2a.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Just a minute.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>كمان</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(kamān)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Also / too</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أنا كمان.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ana kamān.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Me too.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكتر</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(aktar)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>More</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي أكتر.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī aktar.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want more.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أقل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(a2all)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Less</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي أقل سكر.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī a2all sukkar.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want less sugar.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>يمين</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(yamīn)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Right</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لف يمين.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>lif yamīn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Turn right.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شمال</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shimāl)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Left</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لف شمال.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>lif shimāl.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Turn left.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مستقيم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(musta2īm)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Straight</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>روح مستقيم.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>rū7 musta2īm.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Go straight.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>قريب</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(qarīb)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Near</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>قريب من هون.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>qarīb min hōn.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Near here.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>بعيد</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ba3īd)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Far</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بعيد شوي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>ba3īd shway.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>It’s a bit far.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>وين الطريق؟</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wēn iṭ-ṭarī2?)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Where is the way?</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>وين الطريق عالمول؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>wēn iṭ-ṭarī2 3al-mōl?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Where’s the way to the mall?</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mayy)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Water</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي مي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī mayy.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want water.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>قهوة</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(2ahwe)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Coffee</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>قهوة سادة لو سمحت.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>2ahwe sāde law sama7t.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Black coffee, please.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>شاي</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shāy)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Tea</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بدّي شاي.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>baddī shāy.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>I want tea.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكل</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(2akel)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Food</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>الأكل طيب.</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>il-2akel ṭayyeb.</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>The food is good.</div>
</div>"
"<div style='text-align:center; line-height:1.05;'>
<div style='color:#7C3AED; font-size:40px; font-weight:800;'>مطعم</div>
<div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(maṭ3am)</div>
</div>","<div style='line-height:1.25;'>
<div style='color:#6B7280; font-size:30px; font-weight:800; margin-bottom:14px; text-align:center;'>Restaurant</div>
<div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div>
<div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>وين المطعم؟</div>
<div style='color:#14B8A6; font-size:28px; font-weight:650; margin-top:8px; text-align:center;'>wēn il-maṭ3am?</div>
<div style='color:#6B7280; font-size:28px; font-weight:700; margin-top:8px; text-align:center;'>Where’s the restaurant?</div>
</div>"
